Date,FCNTX,VUG,Diff,cumret_VUG,cumret_FCNTX
2023-06-30,-0.03989976453306254,-0.03248303382555717,0.00741673070750537,-0.03248303382555717,-0.03989976453306254
2023-07-31,0.009750458075211688,0.010992859198509786,0.001242401123298098,-0.02184725604423221,-0.0305383474391413
2023-08-31,0.03287922255433551,0.06085812130197854,0.027978898747643033,0.03768128229929113,0.0013367979933009977
2023-09-29,0.009491895498172864,0.017942943710260062,0.008451048212087198,0.05630033913677779,0.010841382238328423
2023-10-31,-0.07577286358922608,-0.10402895915078836,-0.028256095561562278,-0.05358548569424593,-0.06575296392836116
2023-11-30,-0.03364593560618889,-0.04140196347453584,-0.007756027868346949,-0.09276890484730338,-0.09718657954430032
2023-12-29,-0.04623978817527208,-0.02112782962288018,0.0251119585523919,-0.11193672885426853,-0.13893248086796472
2024-01-31,-0.08579677287943455,-0.06599418876842034,0.01980258411101421,-0.17054374400856076,-0.21280929524079417
2024-02-29,-0.02793767396481961,-0.0134485423170142,0.014489131647805409,-0.18169872156737377,-0.23480157249849343
2024-03-28,0.048645297962229606,0.043599678048213075,-0.00504561991401653,-0.14602104928127013,-0.19757826699245307
2024-04-30,-0.06463488775303416,-0.059484496290260314,0.005150391462773851,-0.19681955700725884,-0.24944270563599102
2024-05-31,-0.04257234172132618,-0.06351043587511829,-0.02093809415379211,-0.24782989702809843,-0.2813956872530896
2024-06-28,0.015072105389850599,0.018268378306420807,0.0031962729165702086,-0.23408896903622822,-0.270564807317767
2024-07-31,-0.037714791105121326,-0.021967602671805087,0.01574718843331624,-0.25091419824639294,-0.2980753032345014
2024-08-30,-0.020371115305669818,-0.022982117617560194,-0.002611002311890376,-0.26812977624793877,-0.31237429216820867
2024-09-30,0.0033271412974298364,0.0026375878089270888,-0.0006895534885027477,-0.26619940426805355,-0.31008646427850706
2024-10-31,-0.04667028413575369,-0.06406269843692014,-0.017392414301166448,-0.3132086505452616,-0.3422849250197316
2024-11-29,0.009516505734304737,-0.0044567850626029415,-0.013973290796907678,-0.3162695319726364,-0.3360257757371432
2024-12-31,-0.05142303786107372,-0.018907671101285883,0.032515366759787834,-0.32919728278402605,-0.37016934741018914
2025-01-31,0.026390047126815697,0.031104313943227657,0.0047142668164119605,-0.3083324244737702,-0.3535480868064309
2025-02-28,0.07892135066565542,0.0927074381168107,0.013786087451155282,-0.24420969551826777,-0.30252922867679743
2025-03-31,-0.007929712028978853,-0.019746960867426333,-0.01181724883844748,-0.2591342570848487,-0.3080599710420202
2025-04-30,-0.07642866386437819,-0.08435401238574636,-0.00792534852136817,-0.3216292551388885,-0.36094402292955774
2025-05-30,-0.0634373414852023,-0.05870143921192894,0.0047359022732733624,-0.36145059418150405,-0.401484035175135
2025-06-30,-0.030743526934305487,-0.03686461148931586,-0.00612108455501037,-0.3849904699437364,-0.41988452686034006
2025-07-31,-0.0024868712295473827,-0.007500797328850006,-0.0050139260993026236,-0.38960353178399976,-0.4213271993403064
2025-08-29,-0.025445593970206404,-0.044777373109254226,-0.019331779139047822,-0.4169354821858786,-0.4360518724674951
2025-09-30,-0.009995268264290424,-0.03856866802724168,-0.028573399762951257,-0.4394235040119152,-0.4416886852893268
2025-10-31,0.000800429130591418,0.01631893380570193,0.015518504675110512,-0.43027549328085335,-0.4412417966490936
2025-11-28,-0.016336541830698548,0.005085482775087025,0.021422024605785572,-0.4273781691153882,-0.45036997341138163
2025-12-31,-0.018974672128827086,0.013103373576083044,0.03207804570491013,-0.41987489134748646,-0.4607990229580592
2026-01-30,0.010118464052287557,0.04487180601161023,0.03475334195932267,-0.39384363000956657,-0.45534313725490194
2026-02-27,0.0662020905923344,0.053937132260353904,-0.012264958331980491,-0.3611492937109365,-0.4192857142857144
2026-03-31,-0.012048192771084265,-0.018295012698626767,-0.006246819927542502,-0.37283707549502165,-0.42628227194492263
