Date,FCNTX,VUG,Diff,cumret_VUG,cumret_FCNTX
2023-06-30,-0.048435167119379785,-0.048568185576743694,-0.00013301845736390927,-0.07984478596902966,-0.0757838958139424
2023-09-30,0.01737385870924002,0.029931308070249463,0.012557449361009443,-0.042163124683522825,-0.06274196237963292
2023-12-31,-0.05188619579022902,-0.055519584082734795,-0.0036333882925057757,-0.14518391616950063,-0.15186197075093977
2024-03-31,-0.02169638296067485,-0.011947684345740487,0.009748698614934362,-0.2200030425789107,-0.2597813504250794
2024-06-30,-0.030711708028169915,-0.034908851286319265,-0.0041971432581493495,-0.27627191027703374,-0.3088861708147284
2024-09-30,-0.018252921704453768,-0.014104044160146064,0.004148877544307705,-0.3094782618981758,-0.3463347683478771
2024-12-31,-0.02952560542084089,-0.02914238486693632,0.00038322055390456927,-0.36355130301317945,-0.38655308387167353
2025-03-31,0.03246056192116409,0.03468826373087067,0.0022277018097065873,-0.3177196008174709,-0.360040515051497
2025-06-30,-0.05686984409462866,-0.05997335436233039,-0.0031035102677017257,-0.39765867353552853,-0.42862242418215013
2025-09-30,-0.01264257782134807,-0.030282279488448638,-0.017639701667100566,-0.4531222983308498,-0.46532361200203126
2025-12-31,-0.011503594942978071,0.011502596718957333,0.023006191661935405,-0.46296402706542067,-0.4820916295937419
2026-03-31,0.02057609332217014,0.026837975191112456,0.0062618818689423135,-0.41629067927049146,-0.4663674673400536
